"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle Status Check","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2024-01-22T16:06:45.795040921Z[Etc/UTC]","0.0","2.03"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-22T16:06:45.789542384Z[Etc/UTC]","0.0","2.43"
"Creating a new game","The new game should contain no moves","SUCCESS","2024-01-22T16:06:49.575035074Z[Etc/UTC]","0.0","0.21"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-22T16:06:50.14878196Z[Etc/UTC]","0.0","0.21"
"Game history and statistics","Game results are recorded in the game history","SUCCESS","2024-01-22T16:06:48.686613975Z[Etc/UTC]","0.0","0.19"
"Game history and statistics","Game statistics can be retrieved for the current player","SUCCESS","2024-01-22T16:06:50.155416095Z[Etc/UTC]","0.0","0.28"
"Getting hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2024-01-22T16:06:50.884874514Z[Etc/UTC]","0.0","0.26"
"Getting hints","Requesting another hint","SUCCESS","2024-01-22T16:06:53.153161228Z[Etc/UTC]","0.0","0.64"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-22T16:06:50.631387642Z[Etc/UTC]","0.0","0.25"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-22T16:06:50.836124909Z[Etc/UTC]","0.0","0.31"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-22T16:06:51.126100606Z[Etc/UTC]","0.0","0.21"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-22T16:06:51.556888373Z[Etc/UTC]","0.0","0.19"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-22T16:06:51.63147449Z[Etc/UTC]","0.0","0.28"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/guesses","SUCCESS","2024-01-22T16:06:51.635230898Z[Etc/UTC]","0.0","0.27"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-22T16:06:52.161943876Z[Etc/UTC]","0.0","0.24"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-22T16:06:52.340041026Z[Etc/UTC]","0.0","0.3"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-22T16:06:53.15658546Z[Etc/UTC]","0.0","0.39"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-22T16:06:53.157071584Z[Etc/UTC]","0.0","0.63"
"Registering a new user","Password should be stored as a hashed password","SUCCESS","2024-01-22T16:06:47.20780794Z[Etc/UTC]","0.0","1.0"
"Registering a new user","Email must be unique","SUCCESS","2024-01-22T16:06:48.658811504Z[Etc/UTC]","0.0","0.19"
"Registering a new user","Players need to register before they can login and play","SUCCESS","2024-01-22T16:06:48.947001546Z[Etc/UTC]","0.0","0.19"
"Registering a new user","Logged-on players can play the game","SUCCESS","2024-01-22T16:06:49.175544839Z[Etc/UTC]","0.0","0.26"
"Registering a new user","Password must not be empty","SUCCESS","2024-01-22T16:06:49.846646754Z[Etc/UTC]","0.0","0.12"
"Registering a new user","Users cannot access the game without logging on","SUCCESS","2024-01-22T16:06:49.990414842Z[Etc/UTC]","0.0","0.28"
"Registering a new user","Players can log on with their username and password","SUCCESS","2024-01-22T16:06:50.343684804Z[Etc/UTC]","0.0","0.23"
"Game Rules","Player runs out of tries","SUCCESS","2024-01-22T16:06:40.43722029Z[Etc/UTC]","0.0","0.16"
"Game Rules","Letters should be displayed with the correct color","SUCCESS","2024-01-22T16:06:40.467817961Z[Etc/UTC]","0.0","0.2"
"Game Rules","Letters that are present but not in the right place","SUCCESS","2024-01-22T16:06:40.619904967Z[Etc/UTC]","0.0","0.02"
"Game Rules","Player guesses the right word","SUCCESS","2024-01-22T16:06:40.633408611Z[Etc/UTC]","0.0","0.03"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2024-01-22T16:06:40.679371586Z[Etc/UTC]","0.0","0.06"
"Game Rules","Two incorrectly placed letters","SUCCESS","2024-01-22T16:06:40.696919522Z[Etc/UTC]","0.0","0.01"
"Game Rules","Correctly placed letters","SUCCESS","2024-01-22T16:06:40.705920331Z[Etc/UTC]","0.0","0.01"
"Hints","If the player asks for another hint, all the hints should be shown","SUCCESS","2024-01-22T16:06:40.427152419Z[Etc/UTC]","0.0","0.17"
"Hints","The word starts with a particular letter","SUCCESS","2024-01-22T16:06:40.609055081Z[Etc/UTC]","0.0","0.03"
"Hints","Possible hints for a word","SUCCESS","2024-01-22T16:06:40.611327104Z[Etc/UTC]","0.0","0.06"
"Game Overview","Player runs out of tries and loses","SUCCESS","2024-01-22T16:06:40.403072613Z[Etc/UTC]","0.0","0.19"
"Game Overview","Player guesses the right word and wins","SUCCESS","2024-01-22T16:06:40.474407497Z[Etc/UTC]","0.0","0.13"
