"Story","Title","Result","Date","Stability","Duration (s)"
"Creating a new game","The new game should contain no moves","SUCCESS","2024-01-07T09:44:27.235653143Z[Etc/UTC]","0.0","0.06"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-07T09:44:27.411703498Z[Etc/UTC]","0.0","0.06"
"Getting hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2024-01-07T09:44:24.890415414Z[Etc/UTC]","0.0","0.95"
"Getting hints","Requesting another hint","SUCCESS","2024-01-07T09:44:29.038330198Z[Etc/UTC]","0.0","0.18"
"Getting hints","Requesting another hint","SUCCESS","2024-01-07T09:44:29.038330198Z[Etc/UTC]","0.0","0.16"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-07T09:44:27.253162964Z[Etc/UTC]","0.0","0.05"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-07T09:44:27.454397188Z[Etc/UTC]","0.0","0.05"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-07T09:44:27.749916153Z[Etc/UTC]","0.0","0.07"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-07T09:44:27.771251573Z[Etc/UTC]","0.0","0.04"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-07T09:44:27.842857564Z[Etc/UTC]","0.0","0.03"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-07T09:44:27.911429461Z[Etc/UTC]","0.0","0.04"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-07T09:44:27.988363293Z[Etc/UTC]","0.0","0.05"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2024-01-07T09:44:28.022269287Z[Etc/UTC]","0.0","0.03"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-07T09:44:29.043600046Z[Etc/UTC]","0.0","0.18"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-07T09:44:29.043600046Z[Etc/UTC]","0.0","0.18"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-07T09:44:29.043600046Z[Etc/UTC]","0.0","0.16"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-07T09:44:29.044184111Z[Etc/UTC]","0.0","0.27"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-07T09:44:29.044184111Z[Etc/UTC]","0.0","0.24"
"Game Rules","Player runs out of tries","SUCCESS","2024-01-07T09:44:18.291076512Z[Etc/UTC]","0.0","0.35"
"Game Rules","Letters should be displayed with the correct color","SUCCESS","2024-01-07T09:44:18.322636196Z[Etc/UTC]","0.0","0.44"
"Game Rules","Letters should be displayed with the correct color","SUCCESS","2024-01-07T09:44:18.322636196Z[Etc/UTC]","0.0","0.44"
"Game Rules","Letters should be displayed with the correct color","SUCCESS","2024-01-07T09:44:18.322636196Z[Etc/UTC]","0.0","0.44"
"Game Rules","Letters that are present but not in the right place","SUCCESS","2024-01-07T09:44:18.672749687Z[Etc/UTC]","0.0","0.03"
"Game Rules","Player guesses the right word","SUCCESS","2024-01-07T09:44:18.683514703Z[Etc/UTC]","0.0","0.03"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2024-01-07T09:44:18.737050068Z[Etc/UTC]","0.0","0.07"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2024-01-07T09:44:18.737050068Z[Etc/UTC]","0.0","0.07"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2024-01-07T09:44:18.737050068Z[Etc/UTC]","0.0","0.07"
"Game Rules","Correctly placed letters","SUCCESS","2024-01-07T09:44:18.742067115Z[Etc/UTC]","0.0","0.04"
"Game Rules","Two incorrectly placed letters","SUCCESS","2024-01-07T09:44:18.787423057Z[Etc/UTC]","0.0","0.04"
"Hints","If the player asks for another hint, all the hints should be shown","SUCCESS","2024-01-07T09:44:18.341502735Z[Etc/UTC]","0.0","0.35"
"Hints","The word starts with a particular letter","SUCCESS","2024-01-07T09:44:18.696647488Z[Etc/UTC]","0.0","0.08"
"Hints","Possible hints for a word","SUCCESS","2024-01-07T09:44:18.71987397Z[Etc/UTC]","0.0","0.12"
"Hints","Possible hints for a word","SUCCESS","2024-01-07T09:44:18.71987397Z[Etc/UTC]","0.0","0.12"
"Hints","Possible hints for a word","SUCCESS","2024-01-07T09:44:18.71987397Z[Etc/UTC]","0.0","0.12"
"Hints","Possible hints for a word","SUCCESS","2024-01-07T09:44:18.71987397Z[Etc/UTC]","0.0","0.12"
"Hints","Possible hints for a word","SUCCESS","2024-01-07T09:44:18.71987397Z[Etc/UTC]","0.0","0.12"
"Game Overview","Player runs out of tries and loses","SUCCESS","2024-01-07T09:44:18.329233511Z[Etc/UTC]","0.0","0.33"
"Game Overview","Player guesses the right word and wins","SUCCESS","2024-01-07T09:44:18.347336842Z[Etc/UTC]","0.0","0.3"
