"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle Status Check","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2024-01-15T21:30:32.472584842Z[Etc/UTC]","0.0","2.44"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-15T21:30:32.463519413Z[Etc/UTC]","0.0","2.84"
"Creating a new game","The new game should contain no moves","SUCCESS","2024-01-15T21:30:36.768687907Z[Etc/UTC]","0.0","0.2"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-15T21:30:37.011593673Z[Etc/UTC]","0.0","0.3"
"Getting hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2024-01-15T21:30:35.849238456Z[Etc/UTC]","0.0","0.2"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-15T21:30:32.467905213Z[Etc/UTC]","0.0","2.83"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-15T21:30:36.707124028Z[Etc/UTC]","0.0","0.21"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-15T21:30:38.613354258Z[Etc/UTC]","0.0","0.1"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-15T21:30:39.344758872Z[Etc/UTC]","0.0","0.11"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-15T21:30:39.617597419Z[Etc/UTC]","0.0","0.12"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-15T21:30:39.897154158Z[Etc/UTC]","0.0","0.12"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2024-01-15T21:30:40.179216004Z[Etc/UTC]","0.0","0.12"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-15T21:30:40.510091579Z[Etc/UTC]","0.0","0.1"
"Registering a new user","Password should be stored as a hashed password","SUCCESS","2024-01-15T21:30:34.222916811Z[Etc/UTC]","0.0","1.08"
"Registering a new user","Email must be unique","SUCCESS","2024-01-15T21:30:35.781162517Z[Etc/UTC]","0.0","0.19"
"Registering a new user","Players need to register before they can login and play","SUCCESS","2024-01-15T21:30:36.053235597Z[Etc/UTC]","0.0","0.16"
"Registering a new user","Password must not be empty","SUCCESS","2024-01-15T21:30:36.240706701Z[Etc/UTC]","0.0","0.12"
"Registering a new user","Players can log on with their username and password","SUCCESS","2024-01-15T21:30:36.38275848Z[Etc/UTC]","0.0","0.23"
