"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle API Specs","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2023-08-08T15:15:26.797762762Z[Etc/UTC]","0.0","1.94"
"When creating a new game","Each new game should be assigned a unique id","SUCCESS","2023-08-08T15:15:34.366848717Z[Etc/UTC]","0.0","0.02"
"When creating a new game","The new game should contain no moves","SUCCESS","2023-08-08T15:15:34.443200914Z[Etc/UTC]","0.0","0.01"
"When playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2023-08-08T15:15:32.632674902Z[Etc/UTC]","0.0","0.02"
"When playing the game","This is an example of a complete game played via the API","SUCCESS","2023-08-08T15:15:32.896650874Z[Etc/UTC]","0.0","0.02"
"When playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2023-08-08T15:15:33.729500004Z[Etc/UTC]","0.0","0.02"
"When playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2023-08-08T15:15:33.839818677Z[Etc/UTC]","0.0","0.02"
"When playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2023-08-08T15:15:33.942798813Z[Etc/UTC]","0.0","0.02"
"When playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2023-08-08T15:15:34.041839628Z[Etc/UTC]","0.0","0.02"
"When playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2023-08-08T15:15:34.189825197Z[Etc/UTC]","0.0","0.02"
"When a player asks for hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2023-08-08T15:15:30.517114303Z[Etc/UTC]","0.0","0.02"
"When a player asks for hints","Requesting another hint","SUCCESS","2023-08-08T15:15:35.822102983Z[Etc/UTC]","0.0","0.54"
"Displaying the results of a game","Should show misplaced cells as yellow","SUCCESS","2023-08-08T15:15:24.864247679Z[Etc/UTC]","0.0","0.14"
"Displaying the results of a game","Should show incorrect cells as gray","SUCCESS","2023-08-08T15:15:25.296411868Z[Etc/UTC]","0.0","0.02"
"A row of cells contains cells of different colors","Should show row of colored cells","SUCCESS","2023-08-08T15:15:35.185221272Z[Etc/UTC]","0.0","0.16"
"When rendering cells","Should show correct cells as green","SUCCESS","2023-08-08T15:15:26.077482147Z[Etc/UTC]","0.0","0.01"
"When rendering cells","Should show cells with color","SUCCESS","2023-08-08T15:15:35.816864155Z[Etc/UTC]","0.0","0.07"
"Game Rules","Player runs out of tries","SUCCESS","2023-08-08T15:15:39.749623024Z[Etc/UTC]","0.0","0.38"
"Game Rules","Player guesses the right word","SUCCESS","2023-08-08T15:15:40.179052781Z[Etc/UTC]","0.0","0.12"
"Game Rules","Two incorrectly placed letters","SUCCESS","2023-08-08T15:15:40.325926821Z[Etc/UTC]","0.0","0.1"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2023-08-08T15:15:40.487907348Z[Etc/UTC]","0.0","0.29"
"Game Rules","Letters that are present but not in the right place","SUCCESS","2023-08-08T15:15:40.8115186Z[Etc/UTC]","0.0","0.08"
"Game Rules","Correctly placed letters","SUCCESS","2023-08-08T15:15:40.919616519Z[Etc/UTC]","0.0","0.06"
"Hints","If the player asks for another hint, all the hints should be shown","SUCCESS","2023-08-08T15:15:40.377835918Z[Etc/UTC]","0.0","0.11"
"Hints","The word starts with a particular letter","SUCCESS","2023-08-08T15:15:40.527157473Z[Etc/UTC]","0.0","0.08"
"Hints","Possible hints for a word","SUCCESS","2023-08-08T15:15:40.632049673Z[Etc/UTC]","0.0","0.36"
"Wordle Overview","Player runs out of tries and loses","SUCCESS","2023-08-08T15:15:39.776309776Z[Etc/UTC]","0.0","0.36"
"Wordle Overview","Player guesses the right word and wins","SUCCESS","2023-08-08T15:15:40.197527687Z[Etc/UTC]","0.0","0.11"
