"Story","Title","Result","Date","Stability","Duration (s)"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-22T21:29:57.602227509Z[Etc/UTC]","0.0","0.2"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-22T21:29:57.669079759Z[Etc/UTC]","0.0","0.29"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-22T21:29:57.794916735Z[Etc/UTC]","0.0","0.23"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-22T21:29:58.420252186Z[Etc/UTC]","0.0","0.22"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/guesses","SUCCESS","2024-01-22T21:29:58.436481675Z[Etc/UTC]","0.0","0.3"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-22T21:29:59.158658505Z[Etc/UTC]","0.0","0.18"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-22T21:29:59.223651073Z[Etc/UTC]","0.0","0.21"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-22T21:29:59.57734869Z[Etc/UTC]","0.0","0.15"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-22T21:30:00.187656779Z[Etc/UTC]","0.0","0.37"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-22T21:30:00.188142765Z[Etc/UTC]","0.0","0.8"
