"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle Status Check","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2024-01-22T16:58:22.408901907Z[Etc/UTC]","0.0","2.19"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-22T16:58:22.396764971Z[Etc/UTC]","0.0","2.65"
"Creating a new game","The new game should contain no moves","SUCCESS","2024-01-22T16:58:26.443408785Z[Etc/UTC]","0.0","0.26"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-22T16:58:27.07549426Z[Etc/UTC]","0.0","0.19"
"Game history and statistics","Game results are recorded in the game history","SUCCESS","2024-01-22T16:58:25.529439137Z[Etc/UTC]","0.0","0.19"
"Game history and statistics","Game statistics can be retrieved for the current player","SUCCESS","2024-01-22T16:58:27.101882555Z[Etc/UTC]","0.0","0.19"
"Getting hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2024-01-22T16:58:27.852405585Z[Etc/UTC]","0.0","0.26"
"Getting hints","Requesting another hint","SUCCESS","2024-01-22T16:58:30.324707544Z[Etc/UTC]","0.0","0.64"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-22T16:58:27.647216909Z[Etc/UTC]","0.0","0.24"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-22T16:58:27.706349446Z[Etc/UTC]","0.0","0.27"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-22T16:58:27.79375065Z[Etc/UTC]","0.0","0.25"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-22T16:58:28.33337142Z[Etc/UTC]","0.0","0.29"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/guesses","SUCCESS","2024-01-22T16:58:28.46161149Z[Etc/UTC]","0.0","0.36"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-22T16:58:28.591967169Z[Etc/UTC]","0.0","0.24"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-22T16:58:29.24573538Z[Etc/UTC]","0.0","0.25"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-22T16:58:29.352776964Z[Etc/UTC]","0.0","0.27"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-22T16:58:30.330326137Z[Etc/UTC]","0.0","0.45"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-22T16:58:30.330779244Z[Etc/UTC]","0.0","0.75"
"Registering a new user","Password should be stored as a hashed password","SUCCESS","2024-01-22T16:58:23.921618015Z[Etc/UTC]","0.0","1.14"
"Registering a new user","Email must be unique","SUCCESS","2024-01-22T16:58:25.455374891Z[Etc/UTC]","0.0","0.24"
"Registering a new user","Players need to register before they can login and play","SUCCESS","2024-01-22T16:58:25.782652274Z[Etc/UTC]","0.0","0.2"
"Registering a new user","Logged-on players can play the game","SUCCESS","2024-01-22T16:58:26.017120696Z[Etc/UTC]","0.0","0.16"
"Registering a new user","Password must not be empty","SUCCESS","2024-01-22T16:58:26.482753068Z[Etc/UTC]","0.0","0.14"
"Registering a new user","Users cannot access the game without logging on","SUCCESS","2024-01-22T16:58:26.644030316Z[Etc/UTC]","0.0","0.27"
"Registering a new user","Players can log on with their username and password","SUCCESS","2024-01-22T16:58:27.045185655Z[Etc/UTC]","0.0","0.25"
