"Story","Title","Result","Date","Stability","Duration (s)"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-21T14:54:10.884818588Z[Etc/UTC]","0.0","0.23"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-21T14:54:11.219831011Z[Etc/UTC]","0.0","0.16"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-21T14:54:11.342134703Z[Etc/UTC]","0.0","0.19"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/guesses","SUCCESS","2024-01-21T14:54:11.732538169Z[Etc/UTC]","0.0","0.19"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-21T14:54:11.903415532Z[Etc/UTC]","0.0","0.14"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-21T14:54:12.287506526Z[Etc/UTC]","0.0","0.19"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-21T14:54:12.696202508Z[Etc/UTC]","0.0","0.21"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-21T14:54:12.786713234Z[Etc/UTC]","0.0","0.17"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-21T14:54:13.390132114Z[Etc/UTC]","0.0","0.09"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-21T14:54:13.390132114Z[Etc/UTC]","0.0","0.1"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-21T14:54:13.390132114Z[Etc/UTC]","0.0","0.12"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-21T14:54:13.390489769Z[Etc/UTC]","0.0","0.34"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-21T14:54:13.390489769Z[Etc/UTC]","0.0","0.18"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-21T14:54:13.390489769Z[Etc/UTC]","0.0","0.22"
