"Story","Title","Result","Date","Stability","Duration (s)"
"When playing the game via the API","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2022-08-06T18:43:13.97943467Z[Etc/UTC]","0.0","0.29"
"When playing the game via the API","We create a new game with the /api/game end-point","SUCCESS","2022-08-06T18:43:14.29224139Z[Etc/UTC]","0.0","0.05"
"When playing the game via the API","We can try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2022-08-06T18:43:14.357752762Z[Etc/UTC]","0.0","0.1"
"When playing the game via the API","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2022-08-06T18:43:14.479978345Z[Etc/UTC]","0.0","0.29"
"When playing the game via the API","At any time we can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2022-08-06T18:43:14.781649855Z[Etc/UTC]","0.0","0.09"
"Playing Wordle","Correctly placed letters","SUCCESS","2022-08-06T18:43:15.110522898Z[Etc/UTC]","0.0","0.06"
"Playing Wordle","Letters that are present but not in the right place","SUCCESS","2022-08-06T18:43:15.184437005Z[Etc/UTC]","0.0","0.01"
"Playing Wordle","Letters that do not form valid words should be rejected","SUCCESS","2022-08-06T18:43:15.210852987Z[Etc/UTC]","0.0","0.1"
"Playing Wordle","Two incorrectly placed letters","SUCCESS","2022-08-06T18:43:15.314251271Z[Etc/UTC]","0.0","0.01"
"Playing Wordle","Player guesses the right word","SUCCESS","2022-08-06T18:43:15.335192305Z[Etc/UTC]","0.0","0.01"
"Playing Wordle","Player runs out of tries","SUCCESS","2022-08-06T18:43:15.356982892Z[Etc/UTC]","0.0","0.01"
