"Story","Title","Result","Date","Stability","Duration (s)"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-11T08:28:00.523394656Z[Etc/UTC]","0.0","1.2"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-11T08:28:02.646666654Z[Etc/UTC]","0.0","0.09"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-11T08:28:02.967279882Z[Etc/UTC]","0.0","0.06"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-11T08:28:03.007938995Z[Etc/UTC]","0.0","0.04"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-11T08:28:03.15039387Z[Etc/UTC]","0.0","0.06"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-11T08:28:03.235343196Z[Etc/UTC]","0.0","0.06"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-11T08:28:03.273549269Z[Etc/UTC]","0.0","0.05"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2024-01-11T08:28:03.437440688Z[Etc/UTC]","0.0","0.03"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-11T08:28:05.850179249Z[Etc/UTC]","0.0","0.6"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-11T08:28:05.850985187Z[Etc/UTC]","0.0","2.71"
