"Story","Title","Result","Date","Stability","Duration (s)"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-10T20:40:47.420564694Z[Etc/UTC]","0.0","0.04"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-10T20:40:47.618023612Z[Etc/UTC]","0.0","0.04"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-10T20:40:47.751875983Z[Etc/UTC]","0.0","0.04"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-10T20:40:47.760103375Z[Etc/UTC]","0.0","0.07"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-10T20:40:47.844373079Z[Etc/UTC]","0.0","0.05"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-10T20:40:47.911108535Z[Etc/UTC]","0.0","0.03"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-10T20:40:47.923102836Z[Etc/UTC]","0.0","0.04"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2024-01-10T20:40:48.002273861Z[Etc/UTC]","0.0","0.03"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-10T20:40:49.035766533Z[Etc/UTC]","0.0","0.18"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-10T20:40:49.035766533Z[Etc/UTC]","0.0","0.15"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-10T20:40:49.035766533Z[Etc/UTC]","0.0","0.11"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-10T20:40:49.03638639Z[Etc/UTC]","0.0","0.28"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-10T20:40:49.03638639Z[Etc/UTC]","0.0","0.21"
