"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle Status Check","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2024-01-10T18:19:11.934548389Z[Etc/UTC]","0.0","2.19"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-10T18:19:11.927997008Z[Etc/UTC]","0.0","2.22"
"Creating a new game","The new game should contain no moves","SUCCESS","2024-01-10T18:19:14.938272751Z[Etc/UTC]","0.0","0.06"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-10T18:19:15.134140743Z[Etc/UTC]","0.0","0.05"
"Getting hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2024-01-10T18:19:15.378186783Z[Etc/UTC]","0.0","0.03"
"Getting hints","Requesting another hint","SUCCESS","2024-01-10T18:19:16.804483757Z[Etc/UTC]","0.0","2.21"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-10T18:19:12.892276414Z[Etc/UTC]","0.0","1.27"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-10T18:19:14.920133139Z[Etc/UTC]","0.0","0.11"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-10T18:19:15.256019342Z[Etc/UTC]","0.0","0.05"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-10T18:19:15.278925804Z[Etc/UTC]","0.0","0.04"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-10T18:19:15.384498915Z[Etc/UTC]","0.0","0.04"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-10T18:19:15.498834098Z[Etc/UTC]","0.0","0.04"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-10T18:19:15.512665897Z[Etc/UTC]","0.0","0.05"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2024-01-10T18:19:15.631304168Z[Etc/UTC]","0.0","0.04"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-10T18:19:16.811053314Z[Etc/UTC]","0.0","0.59"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-10T18:19:16.81157052Z[Etc/UTC]","0.0","2.6"
"Game Rules","Letters should be displayed with the correct color","SUCCESS","2024-01-10T18:19:06.265764537Z[Etc/UTC]","0.0","0.45"
"Game Rules","Player runs out of tries","SUCCESS","2024-01-10T18:19:06.297948342Z[Etc/UTC]","0.0","0.29"
"Game Rules","Player guesses the right word","SUCCESS","2024-01-10T18:19:06.651760799Z[Etc/UTC]","0.0","0.01"
"Game Rules","Letters that are present but not in the right place","SUCCESS","2024-01-10T18:19:06.671747265Z[Etc/UTC]","0.0","0.01"
"Game Rules","Two incorrectly placed letters","SUCCESS","2024-01-10T18:19:06.697836191Z[Etc/UTC]","0.0","0.03"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2024-01-10T18:19:06.715882459Z[Etc/UTC]","0.0","0.05"
"Game Rules","Correctly placed letters","SUCCESS","2024-01-10T18:19:06.742298403Z[Etc/UTC]","0.0","0.01"
"Hints","If the player asks for another hint, all the hints should be shown","SUCCESS","2024-01-10T18:19:06.283587154Z[Etc/UTC]","0.0","0.31"
"Hints","Possible hints for a word","SUCCESS","2024-01-10T18:19:06.627697683Z[Etc/UTC]","0.0","0.08"
"Hints","The word starts with a particular letter","SUCCESS","2024-01-10T18:19:06.640666984Z[Etc/UTC]","0.0","0.04"
"Game Overview","Player runs out of tries and loses","SUCCESS","2024-01-10T18:19:06.236506743Z[Etc/UTC]","0.0","0.35"
"Game Overview","Player guesses the right word and wins","SUCCESS","2024-01-10T18:19:06.290357244Z[Etc/UTC]","0.0","0.3"
